001.wav,4,-131.6884751845758
002.wav,9,-144.3308395083152
003.wav,0,-151.020616453853
004.wav,3,-136.24592141771564
005.wav,7,-131.1646205430569
006.wav,5,-150.06163543177396
007.wav,0,-139.9516351344449
008.wav,2,-130.63455538920252
009.wav,9,-130.5224709774928
010.wav,0,-147.96811474734207
011.wav,1,-143.17835652853708
012.wav,2,-133.9574461177046
013.wav,5,-131.40293946283361
014.wav,7,-141.06977090022286
015.wav,8,-135.20058369280244
016.wav,6,-134.35678131166893
017.wav,7,-146.35596182607307
018.wav,6,-133.39962533177345
019.wav,9,-127.76716462928414
020.wav,4,-126.49094299793848
021.wav,6,-132.8758247464118
022.wav,5,-137.80476016718143
023.wav,6,-130.45437402802122
024.wav,7,-139.870346455587
025.wav,0,-136.18465172246286
026.wav,3,-124.2333837983311
027.wav,5,-147.23748074987583
028.wav,5,-129.87165811244978
029.wav,8,-144.2152797615587
030.wav,7,-140.8390890439814
031.wav,7,-133.87583651930032
032.wav,3,-127.48260924522666
033.wav,6,-133.50557423205834
034.wav,5,-133.59102926001142
035.wav,3,-137.38023148226475
036.wav,2,-127.39008574277474
037.wav,7,-135.51979814477878
038.wav,1,-135.15165469326791
039.wav,3,-141.51299414394458
040.wav,2,-137.02395729321688
041.wav,5,-140.75592914747338
042.wav,3,-135.5229649881428
043.wav,5,-135.59330129613284
044.wav,8,-131.20433811781106
045.wav,6,-140.56405308633117
046.wav,0,-127.0951708208404
047.wav,2,-148.6796685825743
048.wav,2,-142.05885582117034
049.wav,6,-125.56446663375573
050.wav,5,-131.5611427039171
051.wav,3,-121.35585151562992
052.wav,7,-123.9169968584359
053.wav,5,-128.0509342986729
054.wav,8,-138.4787333810609
055.wav,2,-146.33999400737
056.wav,1,-137.19794430278134
057.wav,4,-123.60620342563976
058.wav,4,-140.48941163340902
059.wav,0,-141.15489020720472
060.wav,8,-146.10398052608969
061.wav,1,-137.26097372780617
062.wav,0,-129.49899703744003
063.wav,6,-125.55658490920182
064.wav,3,-134.38288455153076
065.wav,4,-128.50239809776386
066.wav,7,-132.3112552988395
067.wav,9,-127.58965198996428
068.wav,8,-132.00131690413892
069.wav,1,-133.58367951505588
070.wav,5,-127.14332180992832
071.wav,5,-149.9243600593875
072.wav,7,-124.15011821981817
073.wav,9,-132.20995508056095
074.wav,1,-133.54112946680186
075.wav,1,-126.13628284248071
076.wav,6,-127.06289205105755
077.wav,5,-144.48628058562102
078.wav,2,-130.28794078416632
079.wav,7,-128.47571834123028
080.wav,5,-133.6366791577547
081.wav,4,-135.55021080899712
082.wav,7,-138.22334729692054
